Match_id,Team_1,Team_2,             Venue,Stage,Toss_winner,Toss_decision,Score_of_first_innings,Wkts_in_first_innings,Score_of_second_innings,Wkts_in_second_innings,Winner,Won by,Player_of_the_match
1,Namibia,Sri Lanka,"GMHBA Stadium, South Geelong, Victoria",First Round,Sri Lanka,Field,163,7,108,10,Namibia,55 Runs,Jan Frylinck
2,UAE,Netherlands ,"GMHBA Stadium, South Geelong, Victoria",First Round,UAE,Bat,111,8,112,7,Netherlands,3 Wickets,Bas de Leede
3,Scotland,West Indies,"Bellerive Oval, Hobart",First Round,West Indies,Field,160,5,118,10,Scotland,42 Runs,George Munsey
4,Zimbabwe,Ireland,"Bellerive Oval, Hobart",First Round,Ireland,Field,174,7,143,9,Zimbabwe,31 Runs,Sikandar Raza
5,Namibia,Netherlands ,"GMHBA Stadium, South Geelong, Victoria",First Round,Namibia,Bat,121,6,122,5,Netherlands,5 Wickets,"
Bas de Leede"
6,Sri Lanka,UAE,"GMHBA Stadium, South Geelong, Victoria",First Round,UAE,Field,152,8,73,10,Sri Lanka,79 Runs,Pathum Nissanka
7,Scotland,Ireland,"Bellerive Oval, Hobart",First Round,Scotland,Bat,176,5,180,4,Ireland,6 Wickets,Curtis Campher
8,West Indies,Zimbabwe,"Bellerive Oval, Hobart",First Round,West Indies,Bat,153,7,122,10,West Indies,31 Runs,Alzarri Joseph
9,Sri Lanka,Netherlands ,"GMHBA Stadium, South Geelong, Victoria",First Round,Sri Lanka,Bat,162,6,146,9,Sri Lanka,16 Runs,Kusal Mendis
10,UAE,Namibia,"GMHBA Stadium, South Geelong, Victoria",First Round,UAE,Bat,148,3,141,8,UAE,7 Runs,Muhammad Waseem
11,West Indies,Ireland,"Bellerive Oval, Hobart",First Round,West Indies,Bat,146,5,150,1,Ireland,9 Wickets,Gareth Delany
12,Scotland,Zimbabwe,"Bellerive Oval, Hobart",First Round,Scotland,Bat,132,6,133,5,Zimbabwe,5 Wickets,Sikandar Raza
13,New Zealand,Australia,"Sydney Cricket Ground, Sydney",Group,Australia,Field,200,3,111,10,New Zealand,89 Runs,Devon Conway
14,Afghanistan,England,"Perth Stadium, Perth",Group,England,Field,112,10,113,5,England,5 Wickets,Sam Curran
